2022-04-10 13:30:34,000 - mealpy.swarm_based.SSA.BaseSSA - INFO - Solving single objective optimization problem.
2022-04-10 13:30:43,183 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 97, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09283 seconds
2022-04-10 13:30:43,277 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 98, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09319 seconds
2022-04-10 13:30:43,369 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 99, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09210 seconds
2022-04-10 13:30:43,462 - mealpy.swarm_based.SSA.BaseSSA - INFO - >Epoch: 100, Current best: 12.305855722222201, Global best: 12.305855722222201, Runtime: 0.09259 seconds
2022-04-10 13:30:43,464 - mealpy.swarm_based.PSO.BasePSO - INFO - Solving single objective optimization problem.
2022-04-10 13:30:43,564 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 1, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04990 seconds
2022-04-10 13:30:43,614 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 2, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04964 seconds
2022-04-10 13:30:43,664 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 3, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04937 seconds
2022-04-10 13:30:43,714 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 4, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04920 seconds
2022-04-10 13:30:43,765 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 5, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.05000 seconds
2022-04-10 13:30:43,815 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 6, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04970 seconds
2022-04-10 13:30:43,865 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 7, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04954 seconds
2022-04-10 13:30:43,915 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 8, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04948 seconds
2022-04-10 13:30:43,966 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 9, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.05027 seconds
2022-04-10 13:30:44,019 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 10, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.05165 seconds
2022-04-10 13:30:44,069 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 11, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04980 seconds
2022-04-10 13:30:44,120 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 12, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04972 seconds
2022-04-10 13:30:44,170 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 13, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04945 seconds
2022-04-10 13:30:44,220 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 14, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04957 seconds
2022-04-10 13:30:44,271 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 15, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04999 seconds
2022-04-10 13:30:44,321 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 16, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04964 seconds
2022-04-10 13:30:44,371 - mealpy.swarm_based.PSO.BasePSO - INFO - >Epoch: 17, Current best: 24.69067105555417, Global best: 24.69067105555417, Runtime: 0.04950 seconds
